78000	행정	2018-01-01	2018-01-31	0	경찰대학 폐지를 청원합니다.^^*	병력자원이 부족해서 의무경찰관 제도가 폐지 되는데 국민세금으로 운영하는 경찰대학 폐지를 청원합니다. 전국의 대학에 경찰행정학과가 있고 현재 순경 공채에 엄청난 경쟁률을 기록하는데 경찰대학 졸업만으로 경위 계급장은 특권의식과 경찰의 간부와 비간부 차별 문화의 핵심이고 군 면제는 공정하지 못하고 공평하지 못합니다. 상식적으로 생각해도 검찰과 경찰의 수사권 논의는 과거 권위주의 군사독재 시절 권력남용과 인권침해에 대한 자기반성과 국민들에게 용서를 구하고 논의하는것이 맞고 먼저 경찰대학 폐지후 논의하는것이 맞습니다. 왜냐고요 경찰 간부 경찰대학 출신의 수사권은 그들의 특권이 될수 있고 인권침해의 소지가 있고 수준이 낮은 경찰 수사권의 최대 피해자는 국민들이 될수 있습니다. 대다수 국민들은 친일경찰에서 반공경찰로 민주경찰과 인권경찰로 변신의 귀재들을 보면서 과거 권위주의 군사독재시절 영장없이 체포와 구금해서 물고문으로 사망하게한 경찰의 자기반성 없는 뻔뻔한 수사권 요구에 대해서 동의해줄수 없습니다. 경찰의 적폐중 적폐 경찰대학 폐지를 청원합니다.^^*
78001	행정	2018-01-01	2018-01-31	0	공직자 비리 수사처 신설 청원^^*	지켜 본다 가만 안둔다." 대구 XX경찰서 고소 당해서 증거 불충분 협의 없음 검찰 처분 인권침해 소지가 있고 수준이 낮아서 최대 피해자는 국민 입니다. 국가인권위원회.국민권익위원회에 진정을 해도 국가 수사기관에 대한 조사는 소극적이고 한계가 있습니다. 본인의 사례 공개로 공직자 비리 수사처 신설 청원 합니다. 사건요지 2016.10.28 11시 30경 대구 동구 XX약국 내에서 고소인에게 "내가 너 지켜본다 가만 안둔다."고 하면서 겁을 주어 협박했다며 고소장 제출 2016.11.28. 대구 XX 경찰서 (접수 번호 : 2016-015999) 대구 XX서 형사과 강력6팀 사건담당형사 경장 XXX " 너 지켜본다. 가만 안둔다." 황당한 고소 사건을 피고소인인 근무 장소에 조장 동행해서 오고 혼자 오고 3-4번 방문했는데 불공한 수사행위 소리가 나오는 CCTV 영상물 요구에 바보가 아닌 이상 경찰가족 고소사건으로 오해 소지가 있는 행동으로 불쾌감 유발 선제적으로 CCTV 동영상 설명과 USB 제출과 본인 진술서와 3자 진술서 제출 했는데요.ㅜ 3-4번 방문조사에 최대한 협조 했는데 본인 휴대폰 경찰서 출석 문자에 항의하니 종이 경찰서 출석 요구서 발송에 본인 몸이 아파서 형사 소송법 200조 1항 무조건 경찰서 출석을 요구 하는것이 아니라 반드시 필요할때 할수 있다. 담당 경찰은 자세하게 형사소송법 설명도 안해주었습니다. 본인의 방문 조사나 서면 조사 요구를 무시하고 무조건 경찰서 출석 요구 해당 형사와 통화 녹취도 있습니다. 본인의 위와 같은 진정 관련 국가인권위원회 여자 조사관 XXX(02-2125-9731) 2번 통화와 담당형사 통화녹취 관련 사항 이메일 20번 보냈습니다. 상식적으로 생각해도 "너 지켜본다. 가만 안둔다." 수사 대상도 아니고 증거도 없는데요.ㅜ 인권침해 소지가 있는 수준 낮은 경찰 수사권의 피해자는 국민들 입니다. 국가인권위원회는 본인의 진정 2017년 6월 7일 진정 접수(17- 진정- 0504700) 내용을 조사관 XXX(02-2125-9731) 2번 통화와 담당형사 통화녹취 관련 사항 이메일 20번 보내고 6개월 지나서 결과 통보 본인이 강조한 형사 소송법 200조 1항 "무조건 경찰서 출석을 요구 하는것이 아니라 반드시 필요할때 할수 있다. " 수사기관 재량에 관한 사항으로 각하 한다. 국가인권위윈회에서 국민인권 수호 안하고 경찰청 대변인 입니까? 증거도 없는 황당한 고소 사건 "너 지켜본다. 가만 안둔다." 경찰서 출석 요구 받으면 피고소인 무조건 출석 합니까? 고소인과 대질신문과 거짓말 조사기 검사 합니까? 국가인권위원회 성의없는 각하는 대표적 갑질 행위 아닙니까? 인권침해 소지가 있는 수준 낮은 경찰 수사권의 피해자는 국민들 입니다 . 국가인권위원회.국민권익위원회에 진정을 해도 국가 수사기관에 대한 조사는 소극적이고 한계가 있습니다. 공직자 비리 수사처 신설 청원 합니다.^^*
78002	외교/통일/국방	2018-01-01	2018-01-31	0	한,미 미래연합사령부 논의 불가^^*	미군 최신 무기 사드체계 이해부족과 태평양사령부 기구의 조직에 대한 정보 부족으로 한,미 미래연합사령부 논의는 불가 한국군의 정성수 60-70명 감축은 군의 사기저하와 한미연합 작전의 합동성 저하로 이어질수 있고 성급한 한국군 전시작전권 환수는 북한 핵 보험용이라는 오해의 소지가 있고 병력자원 감소는 의무경찰관 제도와 경찰대학 폐지로 보완 될수 있는 사항 군의 사기저하는 백전백패 입니다.
78005	기타	2018-01-01	2018-01-31	1	무노동 무임금을 청원합니다	우리나라에 일도 재대로 안하면서 국세만 충내는 공무원들이나 정부관계자들이 너무 많은거갛습니다. 전부 국민의 혈세가 이같은 사람들에게 쓰인봅다는거 이건 정말 아닌거같습니다. 하여 옛말에 이르길 일하지않은자 먹지도 말라는말이 있듯이 무노동자에게는 무임금이 맞다고 봅니다.
78006	문화/예술/체육/언론	2018-01-01	2018-01-31	0	헬스트레이너 자격개선	헬스트레이너들에 대한 업주들에횡포가 극에 달았습니다 트레이너 기본급여는 80 100만원이며 그외 영업pt수당으로 받습니다 실상 영업하지 못하는 트레이너는 최저임금을 받지 못하는것이죠 이 문제는 진입장벽이 낮은 생활스포츠지도자2급 자격증의 시험 난이도에 있습니다 1주일만 공부하면 누구나 합격할수 있는 시장구조상 희소성이 없기에 대우가 좋지 않은것입니다. 합격자 인원을 대폭으로 축소하고 최소 3달이상 열심히 공부해야 딸수있는 시험으로 난이도를 올려 자격증의 가치를 상승시켜 운동트레이너들의 가치를 올려주시기 바랍니다 또한 헬스장 업주들은 자격증이 없는 트레이너를 고용하면 많은 벌금을 내게 하는 법안을 만들어 주면 실력있는 트레이너들의 가치를 인정받을수 있는 시대가 오리라 믿습니다
78007	인권/성평등	2018-01-01	2018-01-31	0	국민의 삷의질 공휴일 전국민의 공휴일	공휴일은 공무원 있는자만의 공휴일이 아니라 대한민국 모든 국민이 누리는 공휴일이 되게 해주십시요 우리나라 법은 없이사는 노동자에게는 공휴일도 일하게 되어있습니다 공무원이나 일부 대기업 직원에게는 당연하게 쉬는날 이지만 중소기업이나 소규모 사업장에서 는 그냥 일하는 날입니다 평등하게 만들어 주십시요 이상입니다
78008	경제민주화	2018-01-01	2018-01-31	0	항공 퍼스트 클래스와 이코노미석의 항공이용료와 유류할증료가 동일하다? 조세불평등.	최근 인천공항 2공항이 개항하면서 좌석등급이 높은 사람이 패스트트랙을 이용시키겠다는 기사를 접했습니다. 그걸 보면서 문득 생각이 드는건 퍼스트클래스와 이코노미 좌석이 원래 내는 부가세를 제외한 공항이용료와 세금 그리고 유류할증료가 다른지를 확인해보니 동일한것 같습니다. 특히 유류할증료의 경우 퍼스트 클라스는 항공기의 좌석을 이코노미석보다 더 많이 이용하고 또한 가져갈수 있는 짐의 무게도 더 많습니다. 그것인 즉슨 퍼스트 클래스를 타고 다니는 사람이 더 많은 기름을 이용하고 있다는 이야기가 됩니다. 항공권 금액이 비싼이유가 기름을 더 많이 쓰기 때문이듯이 유류할증료도 더 많이 내어야 상식에 맞는것이니까요. 게다가 퍼스트 클래스를 이용하는 승객은 수입이 많으면 더 많은 세금을 내야하는것 처럼 더 많은 공항이용료와 공항세금을 내야하는것 조세의 형평성에 맞는것은 아닌지 청원 합니다. 세금이라는것은 부의 불평등을 완화해주는 역할이 있는데 그러한 역할이 갈수록 작아지는것 같아 아쉽습니다. 결국 세법도 국회의원과 같은 부자과 부자들의 로비들로 만들어지기 때문에 부자들 입맞에 맞추어서 변질되어가고 있는 모습을 보면서 이러한 것들을 바르게 잡아나가는것도 중요한 일이 아닌가 싶습니다.
78009	행정	2018-01-01	2018-01-31	1	사이비	사이비 종교인이 일반인을 포교 하고 어디로 데려가려는데 경찰은 아무 권한없다고 넋놓고 있으니 답답하고 밖에 돌아다니기 무섭습니다 우리나라는 치안좋다고 하는데 경찰들이 법에 없다고 대응을 안하려고 하니 관련 법이나 규정이 필요합니다
78010	행정	2018-01-01	2018-01-31	0	지붕없는 평창 개폐회식장 임시 지붕을 만들자	100% 바람을 막을 수 없겠지만 거대한 천막을 씌우고 거대한 풍선으로 천막을 들어올려 직접적인 바람을 막을 수 있게 하는 방법은 어떨가 싶어 제안드립니다.
78011	경제민주화	2018-01-01	2018-01-31	6	최저임금은 지키지 않는 쓰레기법이네요	문재인을 대통령으로 잘못뽑았나? 최저임금인상으로 밥값과 다른 물가가 줄줄이 오른다고 한다. 문재인의 성급한 정책이 문제를 일으키는 것 같다. 최저임금도 근본적으로는 시장경쟁원칙이 적용되어야 문제발생이 적다. 그러나 문재인은 시장경쟁원칙을 여기에서 생각하지 않는 것 같다. 말은 화려하고 좋지만 사후적 부작용이 따르는 것을 고려하지 않은 것 같다. 농촌에서 고추따면 하루3만원을 받는다. 최저임금을 법대로 하면 농촌에서 직원을 두고 농사를 하는 사람은 모두 망하게 된다. 문재인이가 정신이 없는 것 같다-_-. 최저임금의 16.5% 너무 빠른 인상은 현실과는 거리가 먼 법인 것 같다. 뉴스에 자영업자80%는 최저임금법을 준수하지 않는다고 한다. 농촌은 99%준수하지 않는 것 같다. 법과 현실의 차이를 보여주는 것 같다. 문재인이가 법을 떠들어도 국민대다수는 지키지 않는 것이 최저임금법인 것 같다. 문재인이 주장한 공약은 잊고 제로베이스에서 다시 정책을 만드는 정치를 해야할 것 같다. 문재인은 많은 정책을 한번에 해결할려고 하는데 차근차근 단계적으로 조금씩 문제를 해결해나가는 실행과정이 필요한 것 같다. 문재인의 최저임금의 성급한 인상과 노동생산성도 낮은데 주당68시간에서 52시간으로 근로시간단축과 원자력발전소폐기에 나는 반대이다. 신재생에너지정책도 말은 좋지만 한국에는 적합하지 않아 보인다. 문제인이가 너무 앞서가고 너무 잘할려고 하는 욕심때문에 실수가 될 것 같기 때문이다. 문재인은 다른 대통령들도 그렇지만 시대를 너무 앞서가고 너무 잘할려는 조금 욕심쟁이인 것 같다. 문재인정부가 신재생에너지에 100조이상을 투자한다는데 나는 반대이다. 한국에는 바람이 적기에 풍력발전기가 적합하지 않다. 태양열도 비슷하다. 그리고 신재생에너지기술이 더 발전할 때까지 기다렸다가 투자해도 늦지 않다고 생각한다. 문재인이가 지나치게 대통령공약에 고집을 부리는 것 같다. 문재인을 대통령으로 잘못뽑았나?하는 생각도 들고 있다-_-. 소득주도성장도 1인당 국민소득이 4~5만불 되기전까지는 안될 것 같은데 문재인은 끈질기게 말하고 있지요-_- 문재인정권은 돈이 너무 많이 들어가는 정책들이 너무 많네요-_-. 대통령공약도 잊어버리고 꼭 필요한 정책만 하는 것이 옳다고 생각하네요. 반대파의 의견을 대통령이 들어야 하네요. 제가 볼 때 문재인이가 경제에 대해서 잘하고 있네요^^ 왜?2017년 문재인정부가 경제에 손도 건들지않자 3%대 성장률을 기록하지요. 만약 경제에 문재인정부가 관심을 가졌다면 경제가 더 어려워지지 않았을까?하는 생각을 하네요^^ㅎㅎㅎㅎㅎ 수출은 현재 잘되지만 이명박 박근혜정권의 누적된 결과이지만 내수경제에서 소상공인과 자영업자들은 지금이 IMF때보다 더 어렵다는 말도 있어요-_-. 참고로 나는 문재인님의 팬이네요-_- 문재인 너무 국민을 위할려고 하지마! 그럼 실패해! 국민을 너무 사랑해서 최저임금과 연금을 너무 올려주어도 안되고 복지예산을 국민소득과 시대에 맞지 않게 너무 빨리 인상해 주어도 안되고 공무원을 너무 많이 뽑아도 안되지요. 문재인님은 다른 분야는 잘하는데 가장 어려운 경제와 국방분야는 나무는 보고 숲을 볼줄 모르는 것 같아요.
